tweet_id,retweet_count,fav_count
892420643555336193,8563,38705
892177421306343426,6299,33175
891815181378084864,4180,24975
891689557279858688,8694,42106
891327558926688256,9455,40246
891087950875897856,3133,20179
890971913173991426,2086,11821
890729181411237888,18998,65392
890609185150312448,4284,27734
890240255349198849,7455,31880
890006608113172480,7372,30592
889880896479866881,4996,27734
889665388333682689,10110,48020
889638837579907072,4567,27124
889531135344209921,2246,15072
889278841981685760,5456,25255
888917238123831296,4519,29021
888804989199671297,4367,25547
888554962724278272,3598,19863
888078434458587136,3511,21711
887705289381826560,5418,30125
887517139158093824,11726,46140
887473957103951883,18323,68994
887343217045368832,10456,33623
887101392804085760,5991,30470
886983233522544640,7812,35086
886736880519319552,3312,12045
886680336477933568,4493,22376
886366144734445568,3212,21150
886267009285017600,4,116
886258384151887873,6321,27918
886054160059072513,104,0
885984800019947520,6844,32637
885528943205470208,6467,35926
885518971528720385,3778,20381
885311592912609280,18663,0
885167619883638784,4404,21900
884925521741709313,18544,77429
884876753390489601,5815,27894
884562892145688576,4893,24250
884441805382717440,5673,26938
884247878851493888,20553,72876
884162670584377345,3003,20347
883838122936631299,3462,21855
883482846933004288,10023,45879
883360690899218434,3698,22524
883117836046086144,6710,37155
882992080364220416,3944,23913
882762694511734784,4948,28266
882627270321602560,6130,27858
882268110199369728,11679,44919
882045870035918850,5013,29298
881906580714921986,3418,24245
881666595344535552,10747,50485
881633300179243008,7,128
881536004380872706,16087,49377
881268444196462592,5190,23028
880935762899988482,2793,16979
880872448815771648,3844,21275
880465832366813184,6331,28482
880221127280381952,4263,27023
880095782870896641,4387,27573
879862464715927552,3520,22266
879674319642796034,10,311
879492040517615616,3205,23375
879415818425184262,44534,105732
879376492567855104,3140,16748
879130579576475649,6895,0
879050749262655488,4748,22547
879008229531029506,2715,18937
878776093423087618,4164,19380
878604707211726852,7296,30243
878404777348136964,1307,0
878316110768087041,6703,0
878281511006478336,1307,7746
878057613040115712,6895,42001
877736472329191424,19321,79861
877611172832227328,81,0
877556246731214848,3857,22718
877316821321428993,5223,27335
877201837425926144,5647,27120
876838120628539392,3389,20648
876537666061221889,4647,23433
876484053909872640,2426,18752
876120275196170240,4726,27900
875747767867523072,4336,25195
875144289856114688,4970,21906
875097192612077568,6091,27421
875021211251597312,4760,25483
874680097055178752,4693,27851
874434818259525634,14915,0
874296783580663808,4154,26082
874057562936811520,3991,22666
874012996292530176,10579,34703
873580283840344065,3992,24268
873337748698140672,1606,0
873213775632977920,1606,7261
872967104147763200,5466,27416
872820683541237760,3737,14747
872668790621863937,28,0
872620804844003328,3759,20827
872486979161796608,9123,40797
872261713294495745,6424,34327
872122724285648897,8241,34568
871879754684805121,11383,38196
871762521631449091,3527,20332
871515927908634625,3509,20298
871166179821445120,5786,0
871102520638267392,5587,21021
871032628920680449,3870,22764
870804317367881728,6340,33823
870726314365509632,3,120
870656317836468226,2697,12499
870374049280663552,26741,83224
870308999962521604,4236,21960
870063196459192321,8527,36956
869772420881756160,10259,42750
869702957897576449,6465,28475
869596645499047938,3205,16118
869227993411051520,3878,20626
868880397819494401,14871,66294
868639477480148993,2152,0
868622495443632128,5915,27505
868552278524837888,2152,10267
867900495410671616,4285,24437
867774946302451713,7523,34395
867421006826221569,2587,16347
867072653475098625,131,0
867051520902168576,8103,32680
866720684873056260,4974,20370
866686824827068416,3594,19612
866450705531457537,36314,124142
866334964761202691,14915,53412
866094527597207552,8645,0
865718153858494464,5774,26003
865359393868664832,5163,26906
865006731092295680,7921,28463
864873206498414592,9019,32873
864279568663928832,3150,14881
864197398364647424,9273,30721
863907417377173506,4282,20997
863553081350529029,4323,15574
863471782782697472,2563,0
863432100342583297,5463,24259
863427515083354112,100,2305
863079547188785154,1141,8938
863062471531167744,2563,8703
862831371563274240,5271,19574
862722525377298433,3668,17433
862457590147678208,5150,20974
862096992088072192,24216,76234
861383897657036800,11113,36839
861288531465048066,4337,17567
861005113778896900,3968,17109
860981674716409858,2253,0
860924035999428608,852,0
860563773140209665,2253,7674
860524505164394496,5499,24165
860276583193509888,3625,18742
860184849394610176,6090,17087
860177593139703809,32254,0
859924526012018688,4281,20006
859851578198683649,3656,15770
859607811541651456,1644,19045
859196978902773760,31631,92336
859074603037188101,14225,34764
858860390427611136,8504,0
858843525470990336,3632,15951
858471635011153920,5069,22090
858107933456039936,3048,16156
857989990357356544,2706,16562
857746408056729600,11128,35221
857393404942143489,1715,6095
857263160327368704,4744,20582
857214891891077121,20,236
857062103051644929,178,0
857029823797047296,4205,19474
856602993587888130,11250,0
856543823941562368,3030,16768
856526610513747968,1981,12183
856330835276025856,714,0
856288084350160898,17,532
856282028240666624,6656,28526
855862651834028034,28,359
855860136149123072,1096,5148
855857698524602368,2236,12210
855851453814013952,18665,46875
855818117272018944,5753,27458
855459453768019968,8703,30963
855245323840757760,6328,0
855138241867124737,49,0
854732716440526848,6473,23657
854482394044301312,7311,30392
854365224396361728,4984,19601
854120357044912130,7967,33168
854010172552949760,3345,16791
853760880890318849,6169,29721
853639147608842240,10818,36303
853299958564483072,3802,16159
852936405516943360,2163,0
852912242202992640,1967,9425
852672615818899456,2298,15558
852553447878664193,3758,17082
852311364735569921,10587,34597
852226086759018497,7301,20885
852189679701164033,1690,11954
851953902622658560,10333,0
851861385021730816,23,0
851591660324737024,3710,16930
851464819735769094,7589,25379
851224888060895234,6148,21632
850753642995093505,9987,32517
850380195714523136,2801,13673
850333567704068097,356,3580
850145622816686080,4108,17120
850019790995546112,5273,21456
849776966551130114,8194,31967
849668094696017920,5348,0
849412302885593088,3382,16659
849336543269576704,2040,12005
849051919805034497,9196,44604
848690551926992896,4659,26499
848324959059550208,4964,26031
848213670039564288,808,8596
848212111729840128,3333,17197
847978865427394560,3518,0
847971574464610304,464,0
847962785489326080,5532,24735
847842811428974592,1456,5777
847617282490613760,454,7385
847606175596138505,3662,19752
847251039262605312,4634,21526
847157206088847362,6338,21077
847116187444137987,3451,22587
846874817362120707,4249,21181
846514051647705089,12576,47192
846505985330044928,3355,14949
846153765933735936,9824,33513
846139713627017216,10666,32580
846042936437604353,3126,16894
845812042753855489,9489,30969
845677943972139009,5190,26537
845397057150107648,1976,8059
845306882940190720,5854,24665
845098359547420673,8333,0
844979544864018432,2813,14435
844973813909606400,3495,16006
844704788403113984,11250,40999
844580511645339650,3413,17429
844223788422217728,2386,14424
843981021012017153,3177,15997
843856843873095681,5024,22668
843604394117681152,2984,17887
843235543001513987,6595,22771
842846295480000512,3904,16126
842765311967449089,1390,7155
842535590457499648,3810,19190
842163532590374912,6328,25979
842115215311396866,3293,14870
841833993020538882,16807,0
841680585030541313,8451,27206
841439858740625411,4012,13422
841320156043304961,5921,20966
841314665196081154,5138,16874
841077006473256960,5786,24342
840761248237133825,1921,0
840728873075638272,17729,0
840698636975636481,3,192
840696689258311684,1080,13085
840632337062862849,1921,9547
840370681858686976,4991,17501
840268004936019968,6265,20493
839990271299457024,2517,14288
839549326359670784,8504,29293
839290600511926273,155,0
839239871831150596,7178,28964
838952994649550848,4363,20890
838921590096166913,2274,11901
838916489579200512,37,0
838831947270979586,12146,0
838561493054533637,1455,11613
838476387338051585,5284,24099
838201503651401729,11096,0
838150277551247360,357,1789
838085839343206401,0,147
838083903487373313,3455,18789
837820167694528512,8645,36466
837482249356513284,486,4095
837471256429613056,2538,13659
837366284874571778,5809,22551
837110210464448512,2633,17087
836989968035819520,2518,13592
836753516572119041,5067,20518
836677758902222849,2439,13457
836648853927522308,607,0
836397794269200385,30337,0
836380477523124226,3234,15713
836260088725786625,4703,22686
836001077879255040,4726,20407
835685285446955009,9006,0
835574547218894849,3987,19011
835536468978302976,1870,0
835309094223372289,23154,0
835297930240217089,3287,17510
835264098648616962,1870,8295
835246439529840640,80,2229
835172783151792128,6322,27923
835152434251116546,3332,24011
834931633769889797,1816,11584
834786237630337024,6007,22566
834574053763584002,2793,14666
834477809192075265,11751,0
834458053273591808,1845,10278
834209720923721728,5286,22037
834167344700198914,3999,16844
834089966724603904,2349,10745
834086379323871233,2437,13958
833863086058651648,2656,14349
833826103416520705,3790,16405
833732339549220864,241,0
833722901757046785,3529,22111
833479644947025920,2281,15923
833124694597443584,5348,21627
832998151111966721,2448,14252
832769181346996225,42,0
832757312314028032,3994,18009
832682457690300417,3246,12717
832645525019123713,574,3126
832636094638288896,3086,16990
832397543355072512,2464,12808
832369877331693569,3518,18381
832273440279240704,2580,12111
832215909146226688,6833,0
832215726631055365,10356,0
832088576586297345,2,72
832040443403784192,10750,0
832032802820481025,5157,19149
831939777352105988,6795,25734
831926988323639298,36,365
831911600680497154,7216,29644
831670449226514432,2005,11198
831650051525054464,2163,7713
831552930092285952,2545,9675
831322785565769729,1684,9841
831315979191906304,1231,6977
831309418084069378,2693,12551
831262627380748289,2269,12781
830956169170665475,1665,8555
830583320585068544,18663,71814
830173239259324417,6320,0
830097400375152640,3343,10546
829878982036299777,5561,0
829861396166877184,2175,13152
829501995190984704,11751,34083
829449946868879360,2252,11242
829374341691346946,10333,37218
829141528400556032,8218,26349
829011960981237760,17995,56922
828801551087042563,3771,0
828770345708580865,6515,27470
828708714936930305,12439,39334
828650029636317184,1491,10220
828409743546925057,1273,6756
828408677031882754,1419,8213
828381636999917570,2463,13571
828376505180889089,1181,7943
828372645993398273,3248,13470
828361771580813312,190,2357
828046555563323392,3174,12653
828011680017821696,2375,11136
827933404142436356,5795,21677
827653905312006145,3331,16622
827600520311402496,1050,7980
827324948884643840,3401,17105
827199976799354881,2490,11388
826958653328592898,5561,23263
826848821049180160,11407,39326
826615380357632002,4373,0
826598799820865537,283,5511
826598365270007810,2606,10838
826476773533745153,4668,19830
826240494070030336,2877,14279
826204788643753985,1044,5250
826115272272650244,3477,16901
825876512159186944,2078,11276
825829644528148480,2766,13719
825535076884762624,19134,56071
825147591692263424,5092,19736
825120256414846976,1434,0
825026590719483904,1434,6860
824796380199809024,6105,0
824775126675836928,3929,16158
824663926340194305,1934,10864
824325613288833024,11560,12706
824297048279236611,4299,16215
824025158776213504,659,5153
823939628516474880,3016,11494
823719002937630720,12545,0
823699002998870016,2694,13570
823581115634085888,2951,14070
823333489516937216,29,754
823322678127919110,4491,16998
823269594223824897,10994,0
822975315408461824,3833,18696
822872901745569793,48994,143078
822859134160621569,2546,14265
822647212903690241,7140,0
822610361945911296,3301,15954
822489057087389700,7140,19605
822462944365645825,16470,30915
822244816520155136,10994,37889
822163064745328640,5380,0
821886076407029760,2618,12289
821813639212650496,3730,0
821765923262631936,1856,9116
821522889702862852,1967,8673
821421320206483457,6240,0
821407182352777218,4869,12749
821153421864615936,10,276
821149554670182400,2248,9452
821107785811234820,2378,10395
821044531881721856,2553,13672
820837357901512704,7479,0
820749716845686786,11096,34188
820690176645140481,3599,13213
820494788566847489,633,0
820446719150292993,2882,0
820314633777061888,633,3610
820078625395449857,7019,21426
820013781606658049,1324,0
819952236453363712,1324,5767
819924195358416896,5414,13937
819711362133872643,3502,14564
819588359383371776,2199,10358
819347104292290561,1342,7821
819238181065359361,453,2483
819227688460238848,7479,25044
819015337530290176,40944,0
819015331746349057,21120,0
819006400881917954,21120,48857
819004803107983360,40944,93516
818646164899774465,23317,0
818627210458333184,8328,24052
818614493328580609,2888,10692
818588835076603904,6888,0
818536468981415936,2774,11846
818307523543449600,9087,0
818259473185828864,2548,11944
818145370475810820,2904,13325
817908911860748288,884,5241
817827839487737858,30337,56268
817777686764523521,2979,11597
817536400337801217,3396,12801
817502432452313088,3800,0
817423860136083457,16807,37194
817415592588222464,1079,6101
817181837579653120,9542,0
817171292965273600,2252,9459
817120970343411712,2929,13173
817056546584727552,1849,9287
816829038950027264,5293,0
816816676327063552,2285,10841
816697700272001025,2462,10632
816450570814898180,9087,33180
816336735214911488,2191,9344
816091915477250048,2412,9685
816062466425819140,1176,0
816014286006976512,5954,0
815990720817401858,1176,5424
815966073409433600,9542,24407
815745968457060357,4630,0
815736392542261248,2540,10687
815639385530101762,1843,8931
815390420867969024,4260,11225
814986499976527872,1450,8291
814638523311648768,3039,12253
814578408554463233,6529,0
814530161257443328,2080,9417
814153002265309185,9754,31226
813944609378369540,3618,0
813910438903693312,2113,10093
813812741911748608,15731,39484
813800681631023104,1978,9072
813217897535406080,8176,20325
813202720496779264,2017,9971
813187593374461952,4904,21581
813172488309972993,2160,10157
813157409116065792,2485,8420
813142292504645637,2645,9141
813130366689148928,497,4853
813127251579564032,3515,12904
813112105746448384,3097,11235
813096984823349248,4059,11439
813081950185472002,3111,10735
813066809284972545,2180,8643
813051746834595840,8217,22775
812781120811126785,2139,8228
812747805718642688,7798,0
812709060537683968,1606,7206
812503143955202048,1376,6614
812466873996607488,2165,8704
812372279581671427,4118,14887
811985624773361665,1581,7913
811744202451197953,1813,8213
811647686436880384,832,6062
811627233043480576,3520,13942
811386762094317568,7190,22753
810984652412424192,1606,5812
810896069567610880,2009,9843
810657578271330305,2961,11935
810284430598270976,12852,38639
810254108431155201,3771,15979
809920764300447744,4373,16853
809808892968534016,5517,0
809448704142938112,1654,7538
809220051211603969,6320,21713
809084759137812480,3941,14386
808838249661788160,3416,10996
808733504066486276,2434,8605
808501579447930884,2915,12290
808344865868283904,23317,46267
808134635716833280,6709,0
808106460588765185,2452,9489
808001312164028416,3963,13690
807621403335917568,4138,15879
807106840509214720,60959,122726
807059379405148160,8257,0
807010152071229440,4286,14184
806629075125202948,39322,81945
806620845233815552,6205,0
806576416489959424,2168,5272
806542213899489280,2666,11120
806242860592926720,13162,0
806219024703037440,1348,6982
805958939288408065,6041,0
805932879469572096,2134,8997
805826884734976000,2061,7166
805823200554876929,9071,0
805520635690676224,1859,6245
805487436403003392,2846,9550
805207613751304193,1909,8471
804738756058218496,4333,14970
804475857670639616,2265,6709
804413760345620481,3614,0
804026241225523202,18248,48621
803773340896923648,3111,10964
803692223237865472,8359,0
803638050916102144,4667,11977
803380650405482500,2088,8451
803321560782307329,6007,0
803276597545603072,2779,10937
802952499103731712,2257,9836
802624713319034886,3290,0
802600418706604034,1650,7758
802572683846291456,2822,9748
802323869084381190,6579,17725
802265048156610565,1523,6905
802239329049477120,2927,9888
802185808107208704,303,0
801958328846974976,1924,8428
801854953262350336,262,1916
801538201127157760,2315,8937
801285448605831168,935,6609
801167903437357056,6709,26752
801127390143516673,4479,0
801115127852503040,2351,8805
800859414831898624,108,753
800855607700029440,1835,0
800751577355128832,3119,11449
800513324630806528,3385,14330
800459316964663297,2416,10302
800443802682937345,4870,0
800388270626521089,3150,12160
800188575492947969,4430,0
800141422401830912,2882,16690
800018252395122689,14845,30975
799774291445383169,5284,0
799757965289017345,2433,9173
799422933579902976,2149,8776
799308762079035393,6237,0
799297110730567681,3126,10820
799063482566066176,2767,8820
798933969379225600,5046,14368
798925684722855936,1616,8097
798705661114773508,7461,0
798701998996647937,8810,0
798697898615730177,7330,0
798694562394996736,5601,0
798686750113755136,2614,0
798682547630837760,5331,0
798673117451325440,6249,0
798665375516884993,4375,0
798644042770751489,2085,0
798628517273620480,2211,0
798585098161549313,6436,0
798576900688019456,6638,0
798340744599797760,3789,0
798209839306514432,2869,11318
797971864723324932,3538,12719
797545162159308800,5460,15841
797236660651966464,7460,21824
797165961484890113,31,249
796904159865868288,10042,0
796865951799083009,2138,8369
796759840936919040,3444,12948
796563435802726400,8240,0
796484825502875648,1981,8273
796387464403357696,4689,12029
796177847564038144,16124,0
796149749086875649,16124,35342
796125600683540480,2010,5400
796116448414461957,2724,9920
796080075804475393,2605,9227
796031486298386433,4157,11790
795464331001561088,26838,54407
795400264262053889,3230,11023
795076730285391872,6105,17722
794983741416415232,3806,0
794926597468000259,2609,11217
794355576146903043,11596,0
794332329137291264,2976,10437
794205286408003585,3738,10052
793962221541933056,5517,18394
793845145112371200,2112,10050
793614319594401792,3523,0
793601777308463104,1843,8704
793500921481273345,2685,11677
793286476301799424,10356,26901
793271401113350145,2655,9423
793256262322548741,9372,21802
793241302385262592,3699,11500
793226087023144960,3221,10731
793210959003287553,3167,9747
793195938047070209,6330,16681
793180763617361921,2234,7551
793165685325201412,3130,10258
793150605191548928,1924,6744
793135492858580992,2795,7045
793120401413079041,4387,13851
792913359805018113,4522,15668
792883833364439040,4811,12345
792773781206999040,1889,8024
792394556390137856,4829,14736
792050063153438720,2021,7840
791821351946420224,23661,0
791784077045166082,10894,0
791780927877898241,4273,0
791774931465953280,25015,49241
791672322847637504,3523,12825
791406955684368384,4630,14341
791312159183634433,2857,9591
791026214425268224,4650,0
790987426131050500,2404,10812
790946055508652032,5293,18130
790723298204217344,2611,0
790698755171364864,2142,8946
790581949425475584,8062,22577
790337589677002753,2102,8538
790277117346975746,3618,13710
790227638568808452,4027,0
789986466051088384,2611,10101
789960241177853952,4679,0
789903600034189313,4657,11359
789628658055020548,1999,8219
789599242079838210,2177,7400
789530877013393408,3806,12843
789314372632018944,2596,9402
789280767834746880,5578,0
789268448748703744,2914,9944
789137962068021249,3138,10600
788908386943430656,13951,29874
788765914992902144,11596,29951
788552643979468800,8136,0
788412144018661376,5963,17010
788178268662984705,2387,7891
788150585577050112,1462,6711
788070120937619456,3837,0
788039637453406209,1490,6705
787810552592695296,3432,9467
787717603741622272,3126,11135
787397959788929025,3187,11822
787322443945877504,1964,8508
787111942498508800,7538,0
786963064373534720,9006,28992
786729988674449408,2727,0
786709082849828864,6833,19844
786664955043049472,2885,11644
786595970293370880,3489,10262
786363235746385920,3943,11901
786286427768250368,3223,8701
786233965241827333,5380,16715
786051337297522688,174,1567
786036967502913536,7939,0
785927819176054784,3544,12396
785872687017132033,2056,7289
785639753186217984,2486,8521
785533386513321988,2264,9942
785515384317313025,1421,6648
785264754247995392,1846,7917
785170936622350336,5464,13191
784826020293709826,3614,11070
784517518371221505,2852,9784
784431430411685888,1438,6201
784183165795655680,9071,21934
784057939640352768,12545,32601
783839966405230592,12146,32774
783821107061198850,2209,8015
783695101801398276,3612,11368
783466772167098368,2531,9221
783391753726550016,6198,18408
783347506784731136,6305,0
783334639985389568,13162,31848
783085703974514689,2489,8864
782969140009107456,8257,26294
782747134529531904,1566,8120
782722598790725632,6041,18791
782598640137187329,2109,8476
782305867769217024,6240,18142
782021823840026624,7001,0
781955203444699136,3773,12079
781661882474196992,3040,11368
781655249211752448,1255,4363
781524693396357120,6205,22585
781308096455073793,2859,7767
781251288990355457,2357,9187
781163403222056960,3052,10627
780931614150983680,8240,23550
780858289093574656,2234,7819
780800785462489090,1456,6006
780601303617732608,3730,13158
780543529827336192,1947,6851
780496263422808064,4169,0
780476555013349377,132,0
780459368902959104,1190,5748
780192070812196864,2512,9476
780092040432480260,2578,0
780074436359819264,5601,13335
779834332596887552,7939,20703
779377524342161408,3489,9600
779124354206535695,20611,0
779123168116150273,4086,12834
779056095788752897,5075,16098
778990705243029504,8166,21780
778774459159379968,11160,0
778764940568104960,409,933
778748913645780993,1495,7504
778650543019483137,1676,6278
778624900596654080,1134,5059
778408200802557953,4874,14815
778396591732486144,13712,0
778383385161035776,1228,6351
778286810187399168,3702,11271
778039087836069888,2956,9201
778027034220126208,1817,7133
777953400541634568,3939,0
777885040357281792,1837,6903
777684233540206592,3290,12209
777641927919427584,4771,0
777621514455814149,2791,9517
777189768882946048,4833,15545
776819012571455488,15333,0
776813020089548800,1352,5308
776477788987613185,3139,9628
776249906839351296,10254,0
776218204058357768,17850,32592
776201521193218049,2815,10418
